Program,Code,Course Name,Credits,Prerequisites,Level
computer,CPIT 110,Programming and Problem Solving,3,,1
computer,ELIS 101,English Language 1,0,,1
computer,ELIS 102,English Language 2,2,,1
computer,PHYS 110,General Physics 1,3,,1
computer,MATH 110,General Mathematics 1,3,,1
computer,COMM 101,Communication Skills 1,3,,2
computer,ELIS 103,English Language 3,2,,2
computer,ELIS 104,English Language 4,2,,2
computer,CHEM 110,General Chemistry 1,3,,2
computer,STAT 110,General Statistics 1,3,,2
computer,ARAB 101,Arabic Language 1,3,,3
computer,MENG 102,Engineering Graphics,3,,3
computer,IE-200,Technical Communication Skills,2,,3
computer,EE 201,Structured Computer Programming,2,,3
computer,MATH 206,Calculus II for Engineers,4,MATH-110,3
computer,PHYS 281,General Physics Lab,1,,3
computer,ISLS 101,Islamic Culture 1,2,,4
computer,IE 201,Engineering Design 1,3,,4
computer,PHYS 202,General Physics 2,4,"MATH-110, PHYS-110",4
computer,MATH 207,Calculus III for Engineers,4,MATH-206,4
computer,CHEM 281,General Chemistry Lab,1,CHEM-110,4
computer,IE 255,Engineering Economy,3,,4
computer,EE 250,Basic Electrical Circuits,4,PHYS-202,5
computer,EE 202,Object-Oriented Computer Programming,3,EE-201,5
computer,MATH 204,Differential Equations,3,MATH-207,5
computer,ISLS 201,Islamic Culture 2,2,ISLS-101,5
computer,ARAB 201,Arabic Language 2,3,ARAB-101,5
computer,EE 300,Complex Analysis,3,MATH-207,6
computer,EE 301,Electrical Circuits and Systems,3,EE-250,6
computer,EE 306,Electrical Engineering Technologies,3,EE-250,6
computer,IE 202,Engineering Design 2,2,"IE-200, IE-201",6
computer,IE 331,Probability and Statistics,3,"MATH-207, STAT-110",6
computer,EE 360,Digital Design I,4,EE-250,7
computer,EE 305,Discrete Mathematics,3,"EE-202, MATH-204",7
computer,EE 311,Electronics I,4,EE-250,7
computer,EE 321,Introduction to Communications,4,EE-301,7
computer,IE 256,Engineering Management,2,IE-255,7
computer,EE 332,Numerical Methods,3,"EE-201, MATH-204",8
computer,EE 361,Digital Computer Organization,3,EE-360,8
computer,EE 364,Advanced Programming,3,EE-202,8
computer,EE 366,Microprocessors and Microcontrollers,3,"EE-202, EE-360",8
computer,EE 367,Data Structures and Algorithms,3,"EE-202, EE-360",8
computer,ISLS 301,Islamic Culture 3,2,ISLS-201,8
computer,EE 390,Summer Training,2,,0
computer,EE 331,Principles of Automatic Control,4,"EE-300, EE-301",9
computer,EE 460,Digital Design II,4,EE-360,9
computer,EE 499,Senior Project,4,"EE-321, EE-366",9
computer,EE XXX,Elective 1,3,,9
computer,FREE XXX,Free Elective,1,,9
computer,EE 462,Computer Communication Networks,3,EE-364,10
computer,EE 463,Operating Systems,4,"EE-361, EE-367",10
computer,EE XXX,Elective 2,3,,10
computer,EE XXX,Elective 3,3,,10
computer,ISLS 401,Islamic Culture 4,2,ISLS-301,10
